Claretha Newberry, 20000304, DS, killing people in ingenious ways,burping,promoting mysticism,wielding political power,solving mysteries,managing hedge funds,defending the weak,spreading revolution,inventing time machines,foiling the schemes of evil villains
Wava Stovall, 20000258, DS, talking in riddles,preparing for war,solving mysteries,eluding FBI profilers,teaching the next generation,pioneering new technologies,directing action movies,looking for hidden treasures,climbing social ladders,eluding capture
Shemika Read, 20000243, DS, killing for Mi6,solving mysteries,killing people in ingenious ways,pursuing criminals,climbing social ladders,solving crimes,watching MacGyver reruns,foiling the schemes of evil villains,fighting for justice,eluding FBI profilers
Elnora Beaudoin, 20000371, DS, signing sports memorabilia,fighting for justice,interpreting evidence,managing hedge funds,sucking roots,coining epigrams,causing mayhem,writing novels,promoting mysticism,watching MacGyver reruns
Stephen Lloyd, 20000499, DS, managing hedge funds,piloting the Millenium Falcon,directing action movies,studying science,eluding FBI profilers,foiling the schemes of evil villains,instigating rebellion,performing magic tricks,teaching the next generation,devising evil schemes
Ella Nelson, 20000155, CS, performing Web searches,directing action movies,amassing nuclear weapons,starring in action movies,managing hedge funds,starring in Hollywood movies,ruling over subjects,signing sports memorabilia,issuing threats,running a crime family
Gilbert Hansen, 20000462, CS, leading armies into battle,playing golf,fighting with swords,starring in Hollywood movies,solving mysteries,interpreting evidence,managing hedge funds,crushing dissent,campaigning for the presidency,signing sports memorabilia
Antony Marchand, 20000270, DS, making home-made clothes,plotting against family members,eluding the CIA,driving under the influence,wielding political power,preparing for war,climbing social ladders,defending the weak,fighting for the rebel alliance,digging for antiquities
Matilda Mangum, 20000275, CS, writing plays,painting colorful pictures,writing TV comedies,campaigning for democracy,licking frogs,starring in Hollywood movies,spreading revolution,scandalizing polite society,promoting conservative values,instigating rebellion
Yael Stubblefield, 20000299, CS, licking frogs,starring in action movies,performing Web searches,fighting with swords,solving mysteries,cracking enemy codes,interpreting evidence, spreading revolution,chasing after women,writing pop songs
Adam Lee, 20000071, DS, eating people,foiling the schemes of evil villains,fighting for justice,leading armies into battle,inventing time machines,belching,pursuing criminals,performing magic tricks,extracting confessions,treating diseases
Judy Nash, 20000411, DS, terrorizing employees,instigating rebellion,interpreting evidence,doing the Kessel run,managing hedge funds,diagnosing diseases,handing out flowers,wielding political power,building an army,coining epigrams
Brittaney Le, 20000301, DS, piloting the Millenium Falcon,eluding the CIA,diagnosing diseases,promoting the Dark Side,foiling the schemes of evil villains,punishing criminals,performing magic tricks,recruiting dissidents,wielding political power,solving crimes
Maxine Poole, 20000196, CS, writing political tracts,singing Hipbop songs,playing camp villains,writing pop songs,solving crimes,fighting with swords,running a criminal enterprise,singing middle-of-the-road songs,performing household chores,throwing Bunga Bunga parties
Wava Stovall, 20000258, CS, promoting conservative values,starring in comedies,campaigning for the presidency,promoting pacifism,interpreting evidence,campaigning for democracy,fighting against totalitarianism,building a search engine,starring in Hollywood movies,promoting feminism
Latina Gunderson, 20000362, CS, building houses for poor people,dancing to disco music,instigating rebellion,licking frogs,wielding political power,enjoying ball-room dancing,campaigning for democracy,promoting communism,spreading revolution,picking weird children names
Ernie Post, 20000233, DS, studying science,inventing time machines,plotting election strategies,smuggling contraband,watching MacGyver reruns,solving mysteries,running a criminal empire,hacking into computers,finding clues,directing action movies
Sharilyn Tyson, 20000341, DS, pioneering new technologies,watching MacGyver reruns,interpreting evidence,doing the Charleston,piloting the Millenium Falcon,foiling the schemes of evil villains,smuggling contraband,exploring foreign countries,milking coconuts,treating diseases
Ericka Selby, 20000388, DS, manipulating political pawns,shagging spies,terrorizing employees,preparing for war,promoting pacifism,finding clues,defending the weak,burping,solving mysteries,promoting Catholic values
Earlean Capps, 20000389, CS, signing sports memorabilia,recording pop songs,raising new-age children,licking frogs,directing action movies,fomenting social revolution,piloting a spaceship,fighting for worker's rights,performing Web searches,crushing dissent
Maxima Talley, 20000249, CS, enriching uranium,publishing newspapers,racking up marriages,writing novels,coining epigrams,piloting a spaceship,licking frogs,publishing soft pornography,managing hedge funds,promoting pacifism
Dave Hammond, 20000490, DS, smuggling contraband,devising evil schemes,promoting science,running a criminal empire,pursuing criminals,eating census takers,killing for Mi6,undermining authority,terrorizing employees,drinking one's life away
Saundra Mchenry, 20000285, CS, writing plays,spreading revolution,starring in comedies,giving to the poor,fighting with swords,racking up marriages,ruling over subjects,writing TV comedies,writing polemics,starring in Hollywood movies
Melaine Coffin, 20000390, CS, writing political tracts,promoting Catholic values,collecting rock samples,leading armies into battle,doing stand-up,publishing newspapers,painting colorful pictures,fomenting social revolution,building a search engine,starring in Hollywood movies
Sarah Curtis, 20000468, CS, promoting conservative values,promoting communism,dancing to disco music,enriching uranium,raising new-age children,launching cultural revolutions,promoting democracy,leading armies into battle,piloting the lunar module,writing TV comedies
Louise Martin, 20000054, CS, amassing nuclear weapons,promoting conservative values,singing parody songs,over-acting,collecting rock samples,running a tech giant,writing plays,starring in Hollywood movies,running for the senate,building a search engine
Carl Morgan, 20000002, CS, promoting liberal values,singing torch songs,fighting against totalitarianism,dancing to disco music,amassing nuclear weapons,running for the senate,wielding political power,starring in Hollywood movies,licking frogs,interpreting evidence
Claudie Hahn, 20000286, DS, fighting for justice,inventing time machines,climbing social ladders,twirling a cane,singing middle-of-the-road songs,eating carrots,talking in riddles,promoting capitalism,solving crimes,causing mayhem
Marilyn King, 20000088, DS, developing military strategies,running a hotel,eluding the CIA,pursuing criminals,duelling acrobatically,smuggling contraband,wielding political power,signing sports memorabilia,promoting science,fighting for justice
Sixta Boling, 20000277, CS, wielding political power,ranting about liberals,promoting conservative values,instigating rebellion,collecting rock samples,campaigning for democracy,studying computability,leading armies into battle,singing middle-of-the-road songs,spreading revolution
Marita Blue, 20000246, DS, preventing crime,foiling the schemes of evil villains,finding clues,interpreting evidence,killing people in ingenious ways,solving crimes,beating menial staff,performing magic tricks,fighting for justice,promoting mysticism
Lela Garza, 20000466, CS, running a criminal enterprise,collecting rock samples,fighting for worker's rights,hiding from the public,leading armies into battle,writing polemics,performing Web searches,raising new-age children,ranting about liberals,spreading revolution
Kimberly Henderson, 20000033, CS, promoting conservative values,wielding political power,writing pop songs,ranting about liberals,writing plays,cracking enemy codes,writing TV comedies,working in a freak show,throwing sex parties,avoiding taxes
Salome Cornwell, 20000316, CS, fighting with swords,fomenting social revolution,campaigning for democracy,singing pop songs,promoting conservative values,spreading revolution,leading armies into battle,building a search engine,enjoying ball-room dancing,writing novels
Antony Marchand, 20000270, DS, wielding political power,promoting mysticism,devising evil schemes,duelling acrobatically,directing action movies,smuggling contraband,digging for antiquities,eating people,preventing crime,treating diseases
Roger Roberts, 20000021, DS, finding clues,solving mysteries,pursuing criminals,pioneering new technologies,developing military strategies,killing people in ingenious ways,duelling acrobatically,solving crimes,making vulgar jokes,shagging spies
Cindy Ruiz, 20000479, DS, punishing criminals,coining epigrams,performing magic tricks,running a hotel,plotting election strategies,finding clues,fighting the forces of good,solving crimes,promoting pacifism,writing novels
Chantay Dickinson, 20000230, CS, fighting with swords,singing torch songs,fomenting social revolution,dancing to disco music,promoting democracy,coining sparkling witticisms,fighting for democracy,racking up marriages,running a criminal enterprise,over-acting
Carl Morgan, 20000002, DS, smoking Laramie Hi-Tars,solving crimes,exploring foreign countries,promoting capitalism,hacking into computers,sucking roots,watching MacGyver reruns,making vulgar jokes,directing action movies,developing military strategies
Gloria Vargas, 20000495, CS, opening new markets,frowning at errant husbands,wielding political power,starring in Hollywood movies,fighting with swords,arguing with political opponents,promoting conservative values,starring in action movies,instigating rebellion,running a tech giant
Jeri Etheridge, 20000296, CS, promoting communism,writing polemics,opening new markets,coining sparkling witticisms,solving mysteries,starring in Hollywood movies,playing soccer,running a tech giant,hiding from the public,singing Hipbop songs
Albert Mitchell, 20000079, DS, directing the business of state,solving mysteries,shagging spies,sucking roots,directing action movies,eluding FBI profilers,terrorizing employees,digging for antiquities,solving crimes,performing magic tricks
Rossana Denton, 20000251, DS, managing hedge funds,eluding FBI profilers,foiling the schemes of evil villains,making money,inventing time machines,interpreting evidence,defending the weak,piloting the Millenium Falcon,running a criminal empire,saving money
Paula Davis, 20000089, CS, signing sports memorabilia,writing TV comedies,crushing dissent,ruling over subjects,fighting for worker's rights,instigating rebellion,playing golf,writing comedy,fighting for democracy,doing stand-up
Laronda Early, 20000289, CS, writing plays,raising new-age children,enjoying ball-room dancing,writing novels,promoting conservative values,campaigning for the presidency,performing Web searches,sucking roots,painting colorful pictures, fighting for democracy
Carylon Whitlow, 20000338, DS, eluding FBI profilers,directing the business of state,launching hostile takeovers,condescending to customers,directing action movies,solving mysteries,causing mayhem,promoting socialism,fighting for justice,foiling the schemes of evil villains
Walter Jenkins, 20000045, DS, preventing crime,fighting for justice,promoting mysticism,starring in Hollywood movies,developing military strategies,duelling acrobatically,burping,eating carrots,looking for hidden treasures,foiling the schemes of evil villains
Bill Chavez, 20000408, CS, running a tech giant,over-acting,cracking enemy codes,writing plays,coining sparkling witticisms,ranting about liberals,working in a freak show,licking frogs,performing household chores,enjoying ball-room dancing
Lien Halverson, 20000392, CS, instigating rebellion,writing TV comedies,publishing soft pornography,running for the presidency,wielding political power,dating centrefolds,arguing with political opponents,working in a freak show,running a criminal enterprise,enriching uranium
Cristie Romo, 20000248, CS, fighting for democracy,promoting democracy,running for the senate,crushing dissent,opening new markets,writing polemics,signing sports memorabilia,starring in comedies,writing rap songs,writing political tracts
Aleisha Albright, 20000280, CS, directing action movies,over-acting,crushing dissent,running for the senate,promoting communism,promoting conservative values,singing middle-of-the-road songs,enjoying ball-room dancing,running a tech giant,running a crime family
Annmarie Toney, 20000393, DS, killing for Mi6,wielding political power,deep-frying chicken,beating menial staff,piloting a spaceship,terrorizing employees,directing action movies,duelling acrobatically,solving mysteries,performing magic tricks
China Hendricks, 20000364, CS, writing pop songs,raising new-age children,running a criminal enterprise,amassing nuclear weapons,chasing after women,painting colorful pictures,promoting pacifism,promoting political causes,singing middle-of-the-road songs,promoting conservative values
Elias Matthews, 20000116, DS, promoting mysticism,defending the weak,building an army,directing action movies,transforming into vehicles,running a hotel,talking in riddles,terrorizing employees,solving crimes,teaching the next generation
Annmarie Toney, 20000393, DS, coining epigrams,twirling a cane,defending the weak,launching cultural revolutions,preventing crime,promoting science,promoting the Dark Side,interpreting evidence,directing the business of state,burping
Dreama Jernigan, 20000283, CS, writing short stories,running Ponzi schemes,promoting enlightenment,writing political tracts,spreading revolution,fomenting social revolution,dating centrefolds,enriching uranium,promoting conservative values,crushing dissent
Rudolph Manning, 20000177, DS, preventing crime,deep-frying chicken,devising evil schemes,interpreting evidence,diagnosing diseases,digging for antiquities,doing the Charleston,finding clues,fighting for justice,promoting mysticism
Billi Sandlin, 20000238, DS, recruiting dissidents,wielding political power,managing hedge funds,killing for Mi6,directing the business of state,foiling the schemes of evil villains,duelling acrobatically,fighting for the resistance,digging for antiquities,playing rock guitar
Darryl Hanson, 20000112, CS, campaigning for the presidency,spreading revolution,performing Web searches,publishing soft pornography,running a crime family,promoting communism,ranting about liberals,fighting for worker's rights,promoting feminism,promoting liberal values
Susie Frazier, 20000106, CS, chasing after women,dating centrefolds,giving to the poor,recording pop songs,running a criminal enterprise,writing TV comedies,cheating clients,collecting rock samples,running for the senate,working in a freak show
Keisha Naquin, 20000335, CS, promoting communism,crushing dissent,running a tech giant,leading armies into battle,raising new-age children,interpreting evidence,producing Hipbop records,publishing soft pornography,writing short stories,coining sparkling witticisms
Charles Briggs, 20000159, DS, transforming into vehicles,inventing time machines,hiding from the public,selling fried chicken,solving mysteries,twirling a cane,terrorizing employees,coining epigrams,promoting greed,duelling acrobatically
Enrique Johnson, 20000493, DS, interpreting evidence,killing for Mi6,finding clues,developing military strategies,making money,playing rock music,causing mayhem,promoting science,fighting for democracy,signing sports memorabilia
Ross Aguilar, 20000148, DS, diagnosing diseases,building an army,running a criminal empire,devising evil schemes,interpreting evidence,tracking down criminals,eating carrots,solving crimes,making money,promoting conservative values
Lavonna Hartman, 20000400, CS, promoting conservative values,running a media empire,running a criminal enterprise,fighting for democracy,amassing nuclear weapons,instigating rebellion,fighting with swords,hiding from the public,racking up marriages,solving mysteries
Shawnna Fleck, 20000220, CS, singing pop songs,licking frogs,writing plays,spreading revolution,working in a freak show,throwing Bunga Bunga parties,running an empire,leading armies into battle,publishing newspapers,directing action movies
Romelia Holden, 20000312, DS, launching hostile takeovers,solving crimes,pursuing criminals,burping,performing magic tricks,fighting for the resistance,directing action movies,smuggling contraband,teaching the next generation,defending the weak
Dana Frazier, 20000412, DS, pioneering new technologies,eating carrots,terrorizing employees,piloting the Millenium Falcon,promoting capitalism,interpreting evidence,smuggling contraband,climbing social ladders,extracting confessions,writing novels
Judith Wilson, 20000013, DS, solving crimes,managing hedge funds,shagging spies,hacking into computers,killing people in ingenious ways,wielding political power,teaching the next generation,spreading revolution,eluding the CIA,studying science
Phil Stokes, 20000152, CS, writing comedy,leading armies into battle,running a kingdom,campaigning for social causes,campaigning for the presidency,performing Web searches,scandalizing polite society,throwing Bunga Bunga parties,singing torch songs,popping Viagra
Sean Russell, 20000062, CS, starring in Hollywood movies,writing polemics,popping Viagra,interpreting evidence,promoting communism,singing pop songs,fighting for democracy,raising new-age children,amassing nuclear weapons,womanizing
Wilbur Thornton, 20000132, CS, starring in Hollywood movies,starring in musical comedies,chasing after women,crushing dissent,fighting with swords,solving crimes,recording pop songs,writing pop songs,enjoying ball-room dancing,opening new markets
Elnora Beaudoin, 20000371, CS, racking up marriages,recording pop songs,signing sports memorabilia,writing plays,promoting pacifism,avoiding taxes,fighting with swords,crushing dissent, spreading revolution,instigating rebellion
Theodora Harlow, 20000261, CS, wielding political power,promoting communism,fomenting social revolution,writing comedy,fighting for democracy,writing pop songs,building a search engine,ruling over subjects,designing clothes,signing sports memorabilia
Troy Jensen, 20000143, CS, performing Web searches,running a tech giant,singing torch songs,writing plays,making political gaffes,performing household chores,telling politicians what to do,promoting feminism,writing TV comedies,opening new markets
Kisha Mowery, 20000268, DS, piloting the Millenium Falcon,writing novels,tracking down criminals,sucking roots,eating carrots,killing people in ingenious ways,eluding FBI profilers,devising evil schemes,twirling a cane,digging for antiquities
Homer Wise, 20000199, CS, issuing threats,promoting conservative values,amassing nuclear weapons,directing action movies,eluding the public gaze,promoting pacifism,performing Web searches,raising new-age children,playing golf,throwing Bunga Bunga parties
Yael Stubblefield, 20000299, DS, digging for antiquities,pursuing criminals,solving crimes,interpreting evidence,manipulating political pawns,climbing social ladders,pioneering new technologies,watching MacGyver reruns,performing magic tricks,extracting confessions
Danielle Houston, 20000492, CS, piloting the lunar module,spreading revolution,fighting for worker's rights,running pyramid schemes,instigating rebellion,promoting liberal values,enriching uranium,enjoying ball-room dancing,writing plays,raising new-age children
Yuri Oliva, 20000254, CS, writing TV comedies,arguing against capitalism,chasing after women,leading armies into battle,building a search engine,developing military strategies,campaigning for social causes,interpreting evidence,picking weird children names,launching cultural revolutions
Beverlee Whited, 20000260, CS, amassing nuclear weapons,fighting with swords,frowning at errant husbands,starring in Hollywood movies,writing plays,singing torch songs,making cartoons,crushing dissent,performing Web searches,starring in action movies
Louise Martin, 20000054, DS, punishing criminals,running a hotel,solving mysteries,eluding the CIA,tricking criminals,promoting pacifism,climbing social ladders,clipping coupons,eluding FBI profilers,performing magic tricks
William Rodgers, 20000404, CS, fighting against totalitarianism,singing middle-of-the-road songs,singing parody songs,spreading revolution,crushing dissent,running a tech giant,performing Web searches,promoting conservative values,publishing soft pornography,ruining an empire
Dave Hammond, 20000490, DS, fighting the forces of good,promoting capitalism,handing out flowers,solving crimes,pioneering new technologies,promoting greed,eluding FBI profilers,coining epigrams,preparing for war,diagnosing diseases
Jacqueline Perez, 20000009, DS, talking in riddles,signing sports memorabilia,eating people,starring in Hollywood movies,managing hedge funds,eluding FBI profilers,interpreting evidence,duelling acrobatically,twirling a cane,eating census takers
Lucy Wood, 20000434, DS, killing for Mi6,writing novels,solving mysteries,transforming into vehicles,performing magic tricks,doing the Charleston,interpreting evidence,wielding political power,exploring foreign countries,treating diseases
Kaitlyn Bassett, 20000329, CS, running for the senate,running a new-age website,crushing dissent,singing torch songs,amassing nuclear weapons,promoting conservative values,licking frogs,racking up marriages,running a tech giant,promoting communism
Jacquelynn Ritchey, 20000245, CS, singing pop songs,licking frogs,managing hedge funds,writing plays,singing middle-of-the-road songs,throwing Bunga Bunga parties,running a criminal enterprise,coining sparkling witticisms,singing torch songs,building a search engine
Bernard Townsend, 20000417, CS, cheating clients,promoting conservative values,piloting the lunar module,wielding political power,running for the presidency,shilling for rental car companies,designing computer systems,performing Web searches,hiding from the public,running a tech giant
Antony Marchand, 20000270, CS, publishing newspapers,instigating rebellion,dancing to disco music,leading armies into battle,signing sports memorabilia,doing stand-up,writing novels,issuing threats,performing Web searches,collecting rock samples
Alberto Cannon, 20000130, CS, starring in Hollywood movies,fighting for democracy,designing computer systems,coining sparkling witticisms,raising new-age children,campaigning for the presidency,promoting conservative values,developing military strategies,spreading revolution,wielding political power
Joan Taylor, 20000083, CS, fighting for democracy,promoting communism,performing Web searches,throwing sex parties,ranting about liberals,licking frogs,promoting feminism,dancing to disco music,promoting world peace,opening new markets
